Area,Sub-area,Field,Picklist etc?,Notes,Public view?,Maps to in model,XML tag,Question?,
Catalogue 1,Image number,Prefix,Y,,Yes concatenated,preferredPublicIdentifier,"concatenate to form <image_no_calc>, and identical <image_iap_image_no>","What's the difference between the two forms of this number, <image_no_calc>, and identical <image_iap_image_no>?",
Catalogue 1,Image number,Number,,,Yes concatenated,preferredPublicIdentifier,"concatenate to form <image_no_calc>, and identical <image_iap_image_no>","What's the difference between the two forms of this number, <image_no_calc>, and identical <image_iap_image_no>?",
Catalogue 1,Image number,Type,,,,,"apparently concatenate to form <image_no_calc>, and identical <image_iap_image_no>","What's the difference between the two forms of this number, <image_no_calc>, and identical <image_iap_image_no>?",
Catalogue 1,Image number,IRM,Y,,,,"apparently concatenate to form <image_no_calc>, and identical <image_iap_image_no>","What's the difference between the two forms of this number, <image_no_calc>, and identical <image_iap_image_no>?",
Catalogue 1,Image number,Exposure,,,,,"apparently concatenate to form <image_no_calc>, and identical <image_iap_image_no>","What's the difference between the two forms of this number, <image_no_calc>, and identical <image_iap_image_no>?",
Catalogue 1,,Short descr.,,,Yes,label,<image_title>,,
Catalogue 1,,Creation date,,,Yes,createdDate,"<image_artwork_date>, <image_artwork_date_to>, <image_artwork_date_from>",,
Catalogue 1,,Technique,Y,,Yes,Format,<image_technique>,,
Catalogue 1,,Creator,Link to authority client,,Yes,Creator,<image_creator>,,
Catalogue 1,,Secondary creator,Link to authority client,,Yes,Creator,<image_creator_secondary>,,
Catalogue 1,,Description of image content,,See below: subdivided in Catalogue 2,Yes,description,<image_image_desc>,,
Catalogue 1,,Collection,Y,,,,<image_collection>,,
Catalogue 2,Description of image content,Public,,"The same as Description of Image Content, above",Yes,description,<image_image_desc_academic>,,
Catalogue 2,Description of image content,Academic,,"The same as Description of Image Content, above",Yes,description,<image_image_desc_public>,,
Catalogue 2,,Notes,,,,"description?  To be decided, whether we need a specific notes concept in the model",<image_supp_notes>,,
Catalogue 2,,Lettering,,,,lettering,<image_supp_lettering>,,
Photosoft,,Caption Field,,"On the search results, these display as ""Caption field"" and ""Caption""",,,<image_psoft_caption_fieldname>,relationship of these related fields is unclear but at least one of them results in content in <image_keywords_unauth>,
Photosoft,,Caption,,"On the search results, these display as ""Caption field"" and ""Caption""",,,<image_psoft_caption>,relationship of these related fields is unclear but at least one of them results in content in <image_keywords_unauth>,
Photosoft,,To be cleaned,,,,,<image_psoft_caption_cleaning>,,
Subjects,,Image No,,,,,"<image_no_calc>, which is identical to <image_iap_image_no>","What's the difference between the two forms of this number, <image_no_calc>, and identical <image_iap_image_no>?",
Subjects,Subject headings,Names,Link to authority client,,,Subject: where the subject is an Agent,"<image_subject_names>, <image_subject_names_id>",,
Subjects,Subject headings,Supplementary keywords,Y,,,,<image_keywords>,,
Subjects,,LCSH Place,,,,,<image_lcsh_place>,,
MeSH/LoC,,MeSH,Link to authority client,"Search results will display if this is a narrower term, ie position in hierarchy",,Subject,"<image_mesh>, <image_mesh_th_h> and <image_mesh_th_i>; <image_mesh> shows the concept as a word, whilst the other two are both are drawn from information in the MeSH browser, where <image_mesh_th_h> represents the Tree number of the concept and <image_mesh_th_i> its unique ID.",,
MeSH/LoC,,LCSH,,,,Subject,<image_loc>,,
Admin,,Wellcome Library Dept,Y,,Yes,wellcomeCollectionSection,<image_library_dept>,,
Admin,,Contributor Code,,,,,<image_source_code>,,
Admin,,Size of Master,Y,,,,<image_master_size>,<image_format>,
Admin,,Medium of Master,Y,,,,<image_master_medium>,<image_format>,
Admin,,Dupe Qty,,,,,<image_dup_quantity> or <image_dupes>?,this seems to vary across the database,
Admin,,Use / Rep Qty,,,,,,,
Admin,,Restrictions on Use,Y,,,,<image_use_restrictions,,
Admin,,Restrictions on Access,Y,,,,<image_access_restrictions>,,
Admin,,Credit,,,Yes,ipRightsStatement,<image_credit_line>,,
Admin,,Copyright Cleared,Y,,Yes,licence,<image_copyright_cleared>,<image_cleared>,
Admin,,WOW,Y,What is this?,,,<image_wow_image>,,
Admin,,Suitable for general use,Y,,,,<image_general_use>,,
Cat History,,Created by,,Presumably populated automatically,,,<all_amendment_by>: first (bottom) term in this list,,
Cat History,,Creation date,,Presumably populated automatically,,,<all_amendment_date>: first (bottom) term in this list,,
Cat History,,Amended by,,Presumably populated automatically,,,<all_amendment_by>,,
Cat History,,Amended date,,Presumably populated automatically,,,<all_amendment_date>,,
Cat History,,Edit note,,,,,<all_amendment_note>,,
Usage History,,Wellcome Exhibitions,Y,,,,<image_award>,,
Usage History,,Exhibition Date,,,,,"<image_award_date>; <image_award_date_from>, <image_award_date_to>",,
Usage History,,Wellcome Publications,Y,,,,"<image_wellcome_pub_date>; <image_wellcome_pub_date_from>, <image_wellcome_pub_date_to>",,
Usage History,,Publication Date,,,,,<image_wellcome_publications>,,
Technical,,Scanned by,Y,,,,<image_tech_scanned_by>,,
Technical,,Date scanned,,,,,"<image_tech_scanned_date>; <image_tech_scanned_date_from>, <image_tech_scanned_date_to>",,
Technical,,File format,,,,,<image_tech_file_format>,,
Technical,,Mode of capture,Y,,,,<image_tech_captured_mode>,,
Technical,,DVD number,,,,,<image_tech_dvd_no>,,
Technical,,Archive file size,,,,,,,
Technical,,File size,Y,Apparently disabled on default new image screen,,,<image_tech_file_size>,,
Technical,,Col / B&W,,Apparently disabled on default new image screen,,,<image_tech_colour,,
