MARC field and 2nd indicator,Term
655_0,Abbreviations. 
655_0,Abstracts. 
655_7,Academic catalogues.|2rbgenr 
655_7,Academic dissertations.|2rbgenr 
655_7,Account books.|2rbgenr 
655_7,Acrostics.|2rbgenr 
655_7,Acrylic paintings.|2gmgpc 
655_7,Addresses.|2rbgenr 
655_7,Advertisements.|2gmgpc 
655_7,Advertising cards.|2gmgpc 
655_7,Aerial views.|2gmgpc 
655_7,Airbrush works.|2gmgpc 
655_7,Albumen prints.|2gmgpc 
655_7,Albums.|2gmgpc 
655_7,Allegorical drawings.|2gmgpc 
655_7,Allegorical paintings.|2gmgpc 
655_7,Allegorical prints.|2gmgpc 
655_7,Allegories.|2gmgpc 
655_7,Almanacs.|2rbgenr 
655_0,Altarpieces.
655_0,Amulets. 
655_7,Anagrams.|2rbgenr
655_7,Anamorphoses.|2aat 
655_7,Anatomical atlases.|2rbgenr 
655_7,Anatomical fugitive sheets.|2local
655_0,Anecdotes. 
655_0,Animals as artists|vPictorial works.  
655_7,Anniversary sermons.|2rbgenr 
655_7,Annual reports.|2rbgenr 
655_7,Anthologies.|2rbgenr 
655_7,Anti-Catholic literature.|2rbgenr 
655_0,Anti-Jewish propaganda|vSpecimens. 
655_7,Aquatints.|2gmgpc 
655_7,Architectural drawings.|2gmgpc 
655_7,Architectural prints.|2gmgpc
655_0,Archives. 
655_0,Art nouveau. 
655_0,Artists with disabilities|vPictorial works.
655_0,Artists with mental disabilities|vPictorial works. 
655_7,Artists’ books.|2rbgenr
655_7,Asylum reports.|2local
655_7,Atlases (Geographic).|2rbgenr 
655_7,Atlases (Scientific).|2rbgenr 
655_7,Auction catalogues.|2rbgenr 
655_0,Autobiographical fiction. 
655_7,Autobiographies.|2rbgenr (See note 2 below)
655_7,Badges.|2gmgpc 
655_7,Bags.|2gmgpc 
655_7,Banners.|2gmgpc
655_0,Bas-relief. 
655_0,Baseball caps. 
655_7,Baxter-process prints.|2gmgpc 
655_0,Beadwork.
655_7,Beer mats.|2local
655_0,Bestiaries. 
655_7,Bibliographies.|2rbgenr (See note 2 below)
655_7,Billheads.|2gmgpc 
655_7,Bio-bibliography. (See note 2 below)
655_7,Biographical fiction.|2rbgenr 
655_7,Biographies.|2rbgenr (See note 2 below)
655_7,Bird's-eye view prints.|2gmgpc 
655_7,Bird's-eye views.|2gmgpc 
655_7,Birth certificates.|2gmgpc 
655_7,Birthday cards.|2gmgpc 
655_7,Blank forms.|2rbgenr
655_0,Blogs.
655_0,Blotting paper.
655_0,Bone. 
655_7,Book covers.|2gmgpc 
655_7,Book illustrations.|2gmgpc 
655_7,Bookmarks.|2gmgpc 
655_7,Bookplates.|2gmgpc 
655_7,Books for the visually impaired.|2rbgenr 
655_7,Books printed as advertisements.|2rbgenr 
655_7,Booksellers' advertisements.|2rbgenr 
655_7,Booksellers' catalogues.|2rbgenr 
655_0,"Borders, Ornamental (Decorative arts). "
655_0,Boxes. 
655_7,Broadsides.|2gmgpc 
655_0,Bronze sculpture. 
655_7,Business cards.|2gmgpc 
655_7,Cabinet photographs.|2gmgpc
655_7,Calendars.|2gmgpc 
655_7,Camera obscura works.|2gmgpc 
655_7,Campaign biographies.|2rbgenr 
655_7,Captivity narratives.|2rbgenr 
655_7,Carbon prints.|2gmgpc 
655_7,Cards.|2gmgpc 
655_7,Caricatures.|2gmgpc 
655_7,Cartes de visite.|2gmgpc 
655_7,Cartoons (Commentary).|2gmgpc 
655_7,Cartoons (Working drawings).|2gmgpc 
655_0,Case studies. 
655_7,Catalogues.|2rbgenr 
655_7,Catechisms.|2rbgenr 
655_0,CD-ROMs. 
655_7,Censuses.|2rbgenr 
655_7,Certificates.|2gmgpc 
655_7,Chalk drawings.|2gmgpc
655_7,Chapbooks.|2rbgenr 
655_7,Charcoal drawings.|2gmgpc 
655_7,Charters.|2rbgenr
655_7,Charts.|2gmgpc 
655_0,Chessmen. 
655_7,Chiaroscuro woodcuts.|2gmgpc 
655_7,Children's art.|2gmgpc 
655_7,Christmas cards.|2gmgpc 
655_7,Chromolithographs.|2gmgpc 
655_7,Chronicles.|2rbgenr
655_0,Chronology. 
655_7,Cigar bands.|2gmgpc
655_7,Cigarette cards.|2gmgpc 
655_7,Cityscape drawings.|2gmgpc 
655_7,Cityscape paintings.|2gmgpc 
655_7,Cityscape photographs.|2gmgpc 
655_7,Cityscape prints.|2gmgpc 
655_7,Clippings.|2gmgpc 
655_0,Clocks and watches. 
655_0,Closet doors. 
655_7,Cloth prints.|2gmgpc 
655_0,Coats.  
655_7,Coats of arms.|2gmgpc 
655_7,Collages.|2gmgpc 
655_7,Collected biographies.|2local 
655_7,Collected correspondence.|2local 
655_7,Collected works.|2local 
655_7,Collotypes.|2gmgpc
655_7,Colonial reports.|2local 
655_7,Comic books.|2rbgenr (See note 3 below)
655_7,Comic histories.|2rbgenr 
655_0,Comics (Graphic works)
655_0,Commemorative coins. 
655_7,Commentaries.|2local 
655_7,Competition drawings.|2gmgpc 
655_7,Composite photographs.|2gmgpc 
655_0,Concert programs.
655_7,Concordances.|2rbgenr
655_0,Condoms|xPackaging. 
655 7,"Conference proceedings.|2local	"
655_7,Conference programs.|2rbgenr 
655_7,Conjectural works.|2gmgpc 
655_7,Contracts.|2rbgenr
655_7,Cookbooks.|2rbgenr 
655_7,Counterproofs.|2gmgpc 
655_7,Crayon drawings.|2gmgpc 
655_7,Crayon manner prints.|2gmgpc
655 0,Crèches (Nativity scenes) 
655_7,Cut-paper works.|2gmgpc 
655_7,Cutouts.|2gmgpc 
655_7,Daguerreotypes.|2gmgpc 
655_0,Databases. 
655_7,Daybooks.|2rbgenr 
655_0,Deaf artists|vPictorial works.
655_7,Death certificates.|2gmgpc 
655_7,Decorations.|2gmgpc 
655_7,Design drawings.|2gmgpc 
655_7,Devotional images.|2gmgpc 
655_7,Devotional literature.|2rbgenr 
655_7,Diagrams.|2gmgpc 
655_7,Diaries.|2rbgenr 
655_7,Dictionaries.|2rbgenr (See note 1 below)
655_7,"Dictionaries, Medical.|2local"
655_7,Diplomas.|2gmgpc 
655_7,Direct mail.|2gmgpc 
655_7,Directories.|2rbgenr 
655_7,Display cards.|2gmgpc
655_0,Distemper painting. 
655_0,Documentary television programs.
655_0,Domestic fiction. 
655_7,Dramatic monologues.|2rbgenr 
655_7,Drawing books.|2rbgenr 
655_7,Drawings.|2gmgpc
655_7,Drypoints.|2gmgpc
655_0,DVDs.
655_7,Dye destruction prints.|2gmgpc
655_7,Editorial cartoons.|2gmgpc 
655_0,Electronic books. 
655_0,Electronic journals. 
655_7,Elevations.|2gmgpc 
655_7,Emblem pictures.|2gmgpc 
655_7,Emblems.|2gmgpc 
655_7,Embossed works.|2gmgpc
655_0,Employment references. 
655_0,Enamel and enameling.
655_7,Encoded moving images.|2local
655_7,Encyclopedias.|2rbgenr 
655_7,Engravings.|2gmgpc 
655_7,Envelopes.|2gmgpc 
655_7,Ephemera.|2rbgenr 
655_7,Epics.|2rbgenr 
655_7,Epigrams.|2rbgenr 
655_7,Epitaphs.|2rbgenr 
655_7,Erotica.|2gmgpc 
655_7,Essays.|2rbgenr 
655_7,Etchings.|2gmgpc 
655_7,Examination questions.|2local 
655_7,Exhibition catalogues.|2rbgenr 
655_7,Exhibition posters.|2gmgpc 
655_7,Exploration literature.|2rbgenr 
655_7,Facetiae.|2rbgenr 
655_7,Facsimiles.|2gmgpc 
655_7,Fairy tales.|2rbgenr 
655_7,Family histories.|2rbgenr 
655_7,Family trees.|2gmgpc 
655_7,Fantasy literature.|2rbgenr 
655_7,Festschriften.|2rbgenr 
655_7,Fiction.|2rbgenr 
655_7,Figure drawings.|2gmgpc 
655_0,Flags. 
655_7,Flick books.|2local
655_7,Fliers (Printed matter).|2gmgpc
655_0,Flow charts. 
655_7,Floor plans.|2gmgpc 
655_7,Folk tales.|2rbgenr 
655_7,Formation photographs.|2gmgpc
655_7,Forms (Documents).|2gmgpc
655_7,Formularies.|2rbgenr 
655_7,Frontispieces.|2gmgpc 
655_7,Funeral addresses.|2rbgenr 
655_7,Funeral books.|2rbgenr 
655_7,Funeral sermons.|2rbgenr 
655_7,Gameboards.|2gmgpc 
655_7,Gazetteers.|2rbgenr
655_7,Gelatin silver film negatives.|2gmgpc 
655_7,Gelatin silver prints.|2gmgpc 
655_7,Genre drawings.|2gmgpc 
655_7,Genre paintings.|2gmgpc 
655_7,Genre photographs.|2gmgpc 
655_7,Genre prints.|2gmgpc 
655_0,"German wit and humor, Pictorial. "
655_7,Ghost stories.|2rbgenr
655_7,Glamour photographs.|2gmgpc
655_0,Glass containers. 
655_7,Glass negatives.|2gmgpc
655_7,Glass transparencies.|2gmgpc
655_7,Glossaries.|2rbgenr (See note 1 below)
655_0,Gloves.
655_0,Goigs.
655_7,Gothic novels.|2rbgenr 
655_7,Gouaches.|2gmgpc 
655_7,Grammars.|2rbgenr
655_0,Graphic novels. (See note 3 below) 
655_7,Graphite drawings.|2gmgpc 
655_7,Graphs.|2gmgpc 
655_7,Greeting cards.|2gmgpc 
655_7,Group portraits.|2gmgpc 
655_0,Guest books.
655_7,Guidebooks.|2rbgenr 
655_7,Halftone photomechanical prints.|2gmgpc 
655_7,Handbills.|2gmgpc 
655_7,Handkerchiefs.|2gmgpc 
655_7,Herbals.|2rbgenr 
655_7,Historical dramatisations.|2local
655_7,Historical fiction.|2rbgenr 
655_7,Hold-to-light works.|2gmgpc 
655_0,Horns. 
655_0,Horror tales. 
655_7,Hospital reports.|2local 
655_7,Humorous pictures.|2gmgpc 
655_7,Hymns.|2rbgenr 
655_0,Icons.
655_0,"Icons, Greek."
655_0,"Icons, Russian."
655_7,Illustrated works.|2rbgenr 
655_7,Illustrations.|2gmgpc 
655_7,Imaginary conversations.|2rbgenr 
655_0,Incunabula.
655_7,Indexes.|2rbgenr 
655_7,Ink drawings.|2gmgpc
655_7,Inkjet prints.|2gmgpc 
655_7,Intaglio prints.|2gmgpc 
655_7,Interviews.|2rbgenr
655_7,"Interviews, Recorded.|2local "
655_7,Invitations.|2local
655_0,"Irish wit and humor, Pictorial. "
655_0,Ironwork. 
655_0,Ivory carving.
655_0,Jacquard weaving.
655_0,Jewish fiction. 
655_0,Jigsaw puzzles. 
655_7,Juvenile literature.|2rbgenr 
655_7,Juvenilia.|2gmgpc 
655_7,Keys (Legends).|2gmgpc
655_7,Kinoras.|2local 
655_7,Labels.|2gmgpc 
655_0,Laboratory manuals. 
655_0,Lacquer boxes. 
655_7,Landscape drawings.|2gmgpc 
655_7,Landscape paintings.|2gmgpc 
655_7,Landscape photographs.|2gmgpc 
655_7,Landscape prints.|2gmgpc 
655_0,Lapidaries (Medieval literature). 
655_0,Last words.
655_7,Laws.|2rbgenr 
655_7,Leaflets.|2gmgpc 
655_7,Lecture notes.|2rbgenr
655_7,Lectures.|2rbgenr 
655_7,"Lectures, Recorded.|2local"
655_7,Legal proceedings.|2local 
655_7,Legislative proceedings.|2rbgenr 
655_7,Letter pictures.|2gmgpc 
655_7,Letterheads.|2gmgpc 
655_7,Letterpress works.|2gmgpc 
655_7,Letters.|2rbgenr 
655_7,Library catalogues.|2rbgenr 
655_7,Line photoengravings.|2gmgpc 
655_7,Linocuts.|2gmgpc 
655_0,Lithographed books.
655_7,Lithographs.|2gmgpc 
655_7,Local histories.|2rbgenr 
655_7,Lottery tickets.|2gmgpc 
655_0,Love poetry. 
655_7,Magazine covers.|2gmgpc 
655_7,Magazine inserts.|2local
655_0,Mandala (Buddhism). 
655_7,Manuals (Handbooks).|2rbgenr 
655_7,Manufacturers' catalogues.|2rbgenr 
655_0,Manuscripts. 
655_7,Maps.|2gmgpc 
655_0,Marquetry. 
655_7,Matchcovers.|2gmgpc 
655_7,Maxims.|2rbgenr 
655_0,Medical fiction. 
655_7,Medical formularies.|2rbgenr 
655_7,Medical illustrations.|2gmgpc
655_0,Medical records. 
655_7,Membership cards.|2gmgpc 
655_7,Membership lists.|2rbgenr 
655_7,Memoirs.|2rbgenr 
655_7,Memorial addresses.|2local 
655_7,Memorials (Commemorative).|2rbgenr 
655_7,Menus.|2gmgpc 
655_7,Metal cuts.|2gmgpc 
655_0,Metal sculpture. 
655_7,Mezzotints.|2gmgpc
655_0,Microfiches. 
655_0,Microforms. 
655_0,Microscope slides.
655_7,Military histories.|2rbgenr 
655_7,Military regulations.|2rbgenr 
655_7,Military unit histories.|2rbgenr 
655_7,Miniatures (Paintings).|2gmgpc 
655_0,Mirrors.
655_7,Missals.|2rbgenr 
655_7,Mixed media.|2gmgpc 
655_7,MOH reports.|2local 
655_7,Money.|2gmgpc 
655_7,Monotypes.|2gmgpc 
655_7,Montages.|2gmgpc 
655_7,Motion picture posters.|2gmgpc 
655_0,Motion pictures. 
655_7,Motion study photographs.|2gmgpc 
655_7,Munich Secession.|2local 
655_7,Museum catalogues.|2rbgenr 
655_7,Music title pages.|2gmgpc 
655_7,Musical works.|2rbgenr
655_7,Mutoscopes.|2local
655_7,Mystery and detective fiction.|2rbgenr 
655_7,Myths and legends.|2rbgenr 
655_7,Narratives.|2rbgenr 
655_0,Narwhal Anatomy. 
655_7,National histories.|2local 
655_0,Neckties. 
655_0,News recordings.
655_7,Newsletters.|2rbgenr 
655_7,Newspapers.|2rbgenr 
655_7,Notebooks.|2rbgenr 
655_7,Novels.|2rbgenr 
655_7,Novelty works.|2gmgpc 
655_7,Novenas.|2rbgenr 
655_7,Obituaries.|2rbgenr 
655_7,Occasional addresses.|2rbgenr 
655_7,Offset photomechanical prints.|2gmgpc 
655_7,Oil paintings.|2gmgpc 
655_0,Oil sketches.
655_7,Oleographs.|2gmgpc 
655_0,Online databases.
655_7,Opalotypes.|2gmgpc
655_7,Optical toys.|2gmgpc 
655_7,Oral histories.|2rbgenr 
655_0,Outlines. 
655_7,Packaging.|2gmgpc 
655_0,Painted signs and signboards.
655_0,"Painting, Kalighat."
655_7,Paintings.|2gmgpc 
655_7,Pamphlets.|2gmgpc 
655_7,Panoramic views.|2gmgpc 
655_7,Paper negatives.|2gmgpc 
655_7,Paper toys.|2gmgpc 
655_0,Papier-mache.
655_7,Parodies.|2rbgenr 
655_7,Pastels (Visual works).|2gmgpc 
655_0,Patents.
655_7,Pathographies.|2local 
655_7,Pattern sheets.|2gmgpc 
655_7,Pen works.|2gmgpc 
655_7,Pencil works.|2gmgpc 
655_7,Periodical illustrations.|2gmgpc 
655_7,Periodicals.|2rbgenr 
655_7,Perspective projections.|2gmgpc 
655_7,Pharmacopoeias.|2rbgenr
655_7,Photocopies.|2aat 
655_7,Photograph albums.|2gmgpc 
655_7,Photographic postcards.|2gmgpc 
655_7,Photographic prints.|2gmgpc 
655_7,Photographs.|2gmgpc 
655_7,Photogravures.|2gmgpc 
655_7,Photolithographs.|2gmgpc 
655_7,Photomechanical prints.|2gmgpc 
655_7,Photomicrographs.|2gmgpc 
655_7,Pictorial envelopes.|2gmgpc 
655_0,Picture frames and framing. 
655_7,Picture puzzles.|2gmgpc 
655_7,Plans.|2gmgpc 
655_0,Plaster sculpture. 
655_7,Platinum prints.|2gmgpc 
655_7,Playing cards.|2gmgpc 
655_7,Plays.|2rbgenr
655_0,Podcasts.
655_7,Poems.|2rbgenr 
655_7,Political cartoons.|2gmgpc
655_7,Political posters.|2gmgpc 
655_0,Popular works. 
655_7,Portfolios.|2gmgpc 
655_7,Portrait drawings.|2gmgpc 
655_7,Portrait paintings.|2gmgpc 
655_7,Portrait photographs.|2gmgpc 
655_7,Portrait prints.|2gmgpc 
655_0,Portrait sculpture. 
655_7,Portraits.|2gmgpc 
655_7,Postage stamps.|2gmgpc 
655_7,Postal stationery.|2gmgpc 
655_7,Postcards.|2gmgpc 
655_7,Posters.|2gmgpc
