ThumbnailImage,thumbnail-image,Thumbnail Image
2,acqi,Info Service acquisitions
3,acql,Wellcome Library
4,admi,administration
5,arch,Archives Collection
6,bwith,bound in above
7,cwith,Contained in above
8,dbiaa,Biomedical Ethics
9,dcoaa,C&E
10,dept,Wellcome Trust departments
11,dhuaa,Human Resources
12,digi,Digitised Collections
13,digit,Digitised Collections
14,dimgs,IMS
15,dinad,IT:Admin
16,dingo,IT:Governance
17,dinop,IT:Operations
18,dinsd,IT:Systems Development
19,dints,IT:Training & Support
20,dlnk,Digitised content
21,dpleg,Legal Dept.
22,dpoaa,Policy Unit
23,dpuih,Grants Management
24,elrm,E-Learning Room
25,elro,Online
26,enhl,Enquiry Hall
27,epbo,Rare Books Collection
28,exre,ON EXHIBITION RESERVE
29,exres,On Exhibition
30,foto,Medical Photo Library
31,gblip,215 Information Point
32,gibb,Wellcome Trust departments
33,hamp,Offsite
34,hgser,Offsite
35,hgslr,Offsite (LSHTM journals)
36,hicon,OBSOLETE Offsite Iconographic
37,hmfac,REQUEST Moving image and sound collections
38,homc,History of Medicine Collection
39,home,Wellcome Library
40,icno,Iconographic Collection
41,illd,ILL Department
42,info,Open shelves
43,iscdr,Medicine & Society Collection CDROM
44,isope,Medicine & Society Collection
45,ispre,Closed stores Press Cuttings
46,isref,OBSOLETE journals
47,issta,Closed stores Medicine & Society
48,isvid,Information Service Video
49,ledw,Enquiry Desk
50,medc,Medical Collection
51,mfgmc,Closed stores Graves Med.AV col
52,mfinc,Closed stores Inst.Neurol.Coll.
53,mfohc,Closed stores Moving image and sound collections
54,mfulc,Closed stores Univ.Lon. AV Coll
55,mfvac,Closed stores Moving image and sound collections
56,mfvl,Closed stores
57,mfwcm,Well.Centre for Med.Sci.
58,nist,Not In Stock
59,ofacq,OBSOLETE Closed stores Staff Office Acq
60,ofarw,Closed stores Archives Workroom
61,ofch1,OBSOLETE Closed stores Staff Office 313
62,ofcur,OBSOLETE Closed stores Staff Office CW
63,ofdj1,OBSOLETE Closed stores Staff Office 320
64,ofdp1,Closed stores Head of Library's Office
65,ofep1,Closed stores Rare Books Staff Area
66,ofep2,OBSOLETE Closed stores Staff Office 342
67,ofep3,OBSOLETE Closed stores Staff Office 343
68,ofexh,Closed stores Exhibitions Office
69,ofgcc,Closed stores Collections Management Office
70,ofinf,Closed stores Professional Collection
71,ofjs1,"Closed stores Head, Research & Special Collections"
72,oflh1,OBSOLETE Closed stores Staff Office 322
73,oflis,OBSOLETE Closed stores Staff Office 258
74,ofmfa,Closed stores MISC Office
75,ofmpl,Closed stores MPL Office
76,ofmsj,Closed stores 1st floor staff office
77,ofna1,OBSOLETE Closed stores Staff Office 242
78,ofns1,Closed stores Asian Collection Staff Area
79,ofor3,Closed stores Outreach Officer
80,ofpld,OBSOLETE Closed stores Staff Office 348
81,ofra1,Closed stores Staff Office 325
82,ofres,OBSOLETE Closed stores Readers Services Office
83,ofrk1,Closed stores Digital Services
84,ofsg1,OBSOLETE Closed stores Staff Office 223
85,ofvds,Closed stores Human Resources Office
86,ofvn1,OBSOLETE Closed stores Staff Office VN
87,ofws1,Closed stores Iconographic Office
88,ofzs1,OBSOLETE Closed stores Staff Office 311
89,orio,Asian Collections
90,poyn,Rare Materials Room
91,resv,EXHIBITION RESERVE
92,rm001,Room 3.42
93,rmdda,Room 3.41
94,sc#ac,Unrequestable Arch. & MSS
95,sc#ra,Unrequestable A&MSS RAMC
96,sc#wa,Unrequestable A&MSS WA
97,sc#wf,Unrequestable A&MSS WF
98,scmac,Closed stores Arch. & MSS
99,scmra,Closed stores A&MSS RAMC
100,scmwa,Closed stores A&MSS Well.Arch.
101,scmwc,Archives & Mss Well.Coll.
102,scmwf,Closed stores A&MSS Well.Found.
103,scons,Conservation
104,sehuf,Closed stores EPB Hunt.G.O/S
105,sehun,Closed stores EPB Hunt.
106,sehup,Closed stores EPB Hunt. pam
107,sehux,Closed stores EPB Hunt. O/S
108,semfc,RESTRICTED
109,semfm,Closed stores EPB m/film
110,semsa,Closed stores EPB MSL A
111,semsb,Closed stores EPB MSL B
112,semsc,Closed stores EPB MSL C
113,semsd,Closed stores EPB MSL D
114,semsf,Closed stores EPB MSL G. O/S
115,semsl,Closed stores EPB MSL
116,semss,Closed stores EPB MSL journals
117,semst,Closed stores EPB MSL tracts
118,sepaf,Closed stores EPB Amer.G.O/S
119,sepah,Closed stores EPB Austro-Hung.
120,sepal,Closed stores EBP Almanac
121,sepam,Closed stores EPB American
122,sepax,Closed stores EPB Amer. O/S
123,sepba,Closed stores EPB / A
124,sepbb,Closed stores EPB / B
125,sepbc,Closed stores EPB / C
126,sepbd,Closed stores EPB / D
127,sepbf,Closed stores EPB G. O/S
128,sepbi,Closed stores EPB Biog p.Vol
129,sepbk,Closed stores EPB
130,sepbl,Closed stores EPB Books for the Blind
131,sepbn,Closed stores EPB Bindings
132,sepbp,Closed stores EPB / P
133,sepbr,Closed stores EPB Planchests
134,sepcp,Closed stores EPB Cattle Plague
135,sepcr,Closed stores EPB Crawford
136,sepct,Closed stores EPB Cancer tracts
137,sepen,Closed stores EPB Encycl
138,sepep,Closed stores EPB Ephemera
139,seper,Closed stores EPB Erotica
140,sepin,Closed stores EPB Incunabula
141,seraf,Closed stores EPB RAMC G. O/S
142,seram,Closed stores EPB RAMC
143,seras,Closed stores EPB RAMC journals
144,serax,Closed stores EPB RAMC O/S
145,sese2,Closed stores EPB dup journals
146,seser,Closed stores EPB journals
147,sesex,Closed stores EPB journals O/S
148,sespc,Closed stores EPB Pamphlets O/S
